purview,name,cost,dice_pool,resistance,description,id,tier,action,duration,prerequisites,tags
Illusion,Fantastic Vista,1 Willpower + 3 Legend,Manipulation + Survival,—,Conceals entire landscapes or buildings with massive illusions.,0149f567-0048-46c0-980d-586183fff140,1,,,[],[]
Health,Assess Health,None,None,—,"The Scion can instantly assess the current medical condition of a single living patient in his presence, including damage levels, addictions, illnesses, diseases and genetic defects.",01bfbd6e-f6f0-4904-b76a-1b2b28304460,1,,,[],[]
Innovation,Proper Tool,2 Legend,None,—,Grants all carried items the same environmental immunities as the Scion.,01cc6d31-14e5-4e10-b208-6db23a7fa982,1,,,[],[]
Innovation,Innovate,15 Legend + 1 Willpower,Intelligence + Craft,—,"Improves items beyond their original design, temporarily or permanently.",020bda8b-d744-433d-9205-eb5723f51df1,1,,,[],[]
Stars,Catastarismi,20 Legend + 1 Willpower,Intelligence + Science,—,Transforms beings into constellations or restores them.,02174e72-69da-457e-8618-9698ed55ae4f,1,,,[],[]
Stars,Astronomer’s Eye,None,Perception + Occult,—,Grants bonus dice to knowledge and prophecy rolls while stars are visible.,025311b4-7ae5-412b-a13d-4341b66cb2b0,1,,,[],[]
Innovation,Avatar of Innovation (The Creator),1 Willpower + 30 Legend,None,—,"For one scene, the Scion becomes the embodiment of creation itself.",02ac9e81-16c7-4162-9b3c-d8c50bba75a5,1,,,[],[]
Fertility,Cornucopia,2 Legend,Manipulation + Survival,—,Causes dead plant matter to produce edible food.,03294687-d665-4e4d-a966-ebda9fbad5fb,1,,,[],[]
Earth,Keen Blade,1+ Legend,Dexterity + Craft,—,"Sharpens a bladed weapon, granting Piercing or bonus damage for a duration based on successes.",0362fa49-7e1c-44b1-bc16-08bfc83ebe87,1,,,[],[]
Justice,Punish the Line,10 Legend,None,—,Curses the descendants of a guilty target with a fitting permanent affliction.,060e44ba-b869-4905-8d53-ca6b228e01f9,1,,,[],[]
Death,Ghost Control,Varies,Charisma + Occult,—,Grants near-total dominion over a ghost via a memento harvested from its corpse.,0768f872-df41-4007-8899-666074cf972b,1,,,[],[]
Moon,Eclipse Halo,1 Legend,Appearance + Presence,—,Blinds anyone who looks at the Scion for actions equal to Legend.,08a3eafd-16d9-4630-92db-9aeca6a22ebd,1,,,[],[]
Dream,Nighty-Night,2 Legend + 1 Willpower,None,—,Forces nearby lower-Legend beings into sleep or shared dreams.,08b11df7-5c27-40ac-8865-be363a04c52b,1,,,[],[]
Earth,Safely Interred,,,—,"The Scion cannot be crushed or suffocated by earth or rubble, though starvation or thirst remain possible.",090cf5a8-1159-43b5-a653-2b7bd26eee08,1,,,[],[]
